technology,planning_year,capex_mw,capex_mwh,fixed_o_m_mw,fixed_o_m_mwh,variable_o_m_mwh,wacc_real,dollar_year,heat_rate,notes
NETL_NGCC,2050,981207,0,27614,0,1.76,0.033,2018,6.363,NETL_Reference
netl_ngcc_CCS,2050,2486000,0,65872,0,5.8,0.033,2018,7.159,NETL_Reference
